White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,GEO_ID,Total population,Male,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),Name,State,County,Tract
83.1,0,3.3,6.3,0,6.1,1.1,1400000US06111007611,3768,53.8,9.7,7,5.9,7.8,7.2,19.5,12.7,11.5,6.2,4.6,5.7,1.2,1,30.5,"Census Tract 76.11, Ventura County, California",6,111,7611
78.8,0.3,1.2,4.1,0.2,7.8,7.7,1400000US06111007612,5045,43.3,8.3,3.1,6.9,7.4,7.8,18.8,10.8,11,8.5,4.8,7.1,3,2.6,33.4,"Census Tract 76.12, Ventura County, California",6,111,7612
78.5,1.7,0.2,10.9,0,3.8,4.9,1400000US06111007613,4666,51.4,9,6.7,9.1,8.3,3.4,9.2,15.5,14.3,8,5.1,7.5,2,1.8,36.5,"Census Tract 76.13, Ventura County, California",6,111,7613
69.1,0.7,1,5.8,2.9,9.6,10.8,1400000US06111007614,8417,44.9,5.7,5.7,9.1,6,8,14.7,11.8,13.2,8.7,4.1,8.8,2.7,1.5,36.9,"Census Tract 76.14, Ventura County, California",6,111,7614
80.3,0.5,2.1,5.5,0,4.6,7,1400000US06111008600,7692,53,8.6,9,9.1,8.3,8.3,18.8,13,10.2,2.4,3.6,6.2,2.1,0.4,30.2,"Census Tract 86, Ventura County, California",6,111,8600
84.3,1.2,1,3.1,0,9.4,1,1400000US06111008700,5877,48.3,9.2,7.8,6.1,6.1,7.5,14.7,11.6,12.8,6.1,6.4,6,4.3,1.5,34.2,"Census Tract 87, Ventura County, California",6,111,8700
79.4,1.4,0.7,4.7,0,9.7,4,1400000US06111008800,5513,48.7,4.9,6.7,8.4,6.4,8.5,15.4,13,14.3,4.2,4.9,6.5,5.7,1.3,34.6,"Census Tract 88, Ventura County, California",6,111,8800
69.7,7.1,0,4.6,0.7,6.5,11.3,1400000US06073015301,3152,50.6,7.6,6.2,6.4,5.4,7,22.9,15.6,6.8,8.8,3,4.7,4.6,1,33.3,"Census Tract 153.01, San Diego County, California",6,73,15301
82.8,2.4,1.7,2.8,0,7.6,2.7,1400000US06073015405,5434,51,4.3,4.2,7.2,7.4,6.8,8.1,16.1,14.5,8.6,7.2,9.8,4.4,1.4,42.7,"Census Tract 154.05, San Diego County, California",6,73,15405
90,0.8,0.1,1.9,0,2.5,4.6,1400000US06073015602,2312,48.7,4.8,4.3,4.4,6.6,8.4,10.3,7.4,14.4,11.6,7.8,9.1,6.9,3.9,48.2,"Census Tract 156.02, San Diego County, California",6,73,15602
74,11.1,0,1.4,0,9.5,4,1400000US06073015704,3873,50.4,10,8.4,5.1,6.8,6.6,12.5,12.9,16,4.1,5.1,8.3,3.1,1.1,35.2,"Census Tract 157.04, San Diego County, California",6,73,15704
82.4,3.5,0.7,4.5,0.8,3.1,5,1400000US06073016100,6483,49.7,6,5.5,5.9,4.1,8,16.9,8.6,11.5,8.3,8.7,9.9,3.8,2.8,39.7,"Census Tract 161, San Diego County, California",6,73,16100
